Вкус,Название_вкуса,Бренд,Рейтинг,Количество_оценок,Отзывы
Кумкват,KalamansiКаламанси,Element,2,3,2
Кумкват,Кумкват,Element,4,1,1
Кумкват,Kumquat GumКумкватовая жвачка,Kaif,4,1,1
Кумкват,KalamansiКаламанси,Ruda,0,0,0
Личи,Space FlavourКосмический вкус,MUSTHAVE,3.8,137,127
Личи,Strawberry-LycheeКлубника-личи,MUSTHAVE,4,98,86
Личи,Содовая-Личи,Сарма,4.3,65,61
Личи,LycheeЛичи,Bonche,4.7,57,54
Личи,HolostyakХолостяк,Banger,3.9,40,39
Личи,"Каспийский вайбЛичи, малина, кола",DARKSIDE,3.3,39,38
Личи,Розовый фламинго,Северный,4.3,40,34
Личи,Hoob,Bonche,3.1,33,32
Личи,Asian LycheeАзиатский личи,Black Burn,4.1,30,27
Личи,Tropic BerryТропическая ягода,Sebero,4.1,27,25
Личи,Code RedКод красный,Sapphire Crown,3.7,24,24
Личи,Малина Личи Базилик,Nаш,3.5,25,22
Личи,Личи,Догма,4.5,23,22
Личи,BabushkaБабушка,Satyr,3.5,25,21
Личи,Space LycheeСпейс Личи,DARKSIDE,3.6,21,20
Личи,GreenwichГринвич,Spectrum,3.7,19,18
Личи,Lychee-StrawberryЛичи-клубника,Kraken,4.5,18,18
Личи,Тропический смузи,Starline,2.5,20,17
Личи,LycheeЛичи,Sebero,3.7,17,16
Личи,Личи со льдом,Brusko,3.5,17,15
Личи,Grape CongВиноградный Конг,Mattpear,4.1,14,
Личи,Рамбутан,Nаш,3.8,14,
Личи,Mix 206Микс 206,Khan Burley,4,13,
Личи,Ананас с помело и личи,Brusko,3.7,13,
Личи,Личи,Догма,4.2,13,
Личи,Клубничная феерия,Северный,3.5,12,
Личи,Tangerine Strawberry LycheeМандарин земляника личи,Chabacco,3.7,13,
Личи,Железный дракон,Rustpunk,4.1,12,
Личи,LycheeЛичи,Afzal,3.4,12,
Личи,LycheesЛичи,Element,3.7,10,
Личи,GreenwichГринвич,Spectrum,3.1,12,
Личи,Lychee JuiceСок личи,Sebero,3,10,
Личи,Pink SunsetРозовый закат,Muassel,2.3,9,
Личи,Li-CiЛи-Чи,Element,3,9,
Личи,Тропический смузи,Bliss,3.4,9,
Личи,LycheeЛичи,Sebero,2.7,8,
Личи,Личи в ажуре,Северный,2.5,10,
Личи,Lychee BisqueЛичи,Chabacco,2.9,8,
Личи,PinelycheeАнанас-личи,Banger,3.5,7,
Личи,Bali SmoothieБалийский шейк,Spectrum,3.4,7,
Личи,Гранат • Вишня • Личи,Veter,3.7,6,
Личи,Turquoise VolumeБирюзовый,Street Samurai,3.5,6,
Личи,Ironman mixАйронмэн микс,Табак Шпаковского,3.8,6,
Личи,Squirt SamuraiСквирт самурай,Punk,3.5,5,
Личи,LycheeЛичи,Endorphin,4.5,5,
Личи,Three demonsТри демона,Baccar tobacco,4.3,5,
Личи,LycheeЛичи,Malaysian Mix,2.7,5,
Личи,Lime Lychee BlueberryЛайм-Личи-Черника,Serbetli,2.3,5,
Личи,LycheeЛичи,Duft,3.5,5,
Личи,Bliss,Burn,3.9,5,
Личи,LycheeЛичи,Element,3.7,5,
Личи,Личи,Brusko,3.6,5,
Личи,LycheeЛичи,Tabu Team,2.6,5,
Личи,Личи,Inferno,4.8,5,
Личи,LycheeЛичи,OLO,3.9,4,
Личи,Sombrero BerryЯгодное сомбреро,Eleon,3.6,4,
Личи,Crystal Eyes,Duft,3.7,4,
Личи,Pink Princess,Duft,3.4,4,
Личи,Lychee BlueГолубой личи,Adalya,4.2,4,
Личи,Pink LemonadeРозовый лимонад,Malaysian Mix,2.8,4,
Манго,Space FlavourКосмический вкус,MUSTHAVE,3.8,137,127
Манго,Falling StarФолинг Стар,DARKSIDE,4.1,122,110
Манго,Mango SlingМанго слинг,MUSTHAVE,3.8,99,89
Манго,MangiferaСливочный манго,Trofimoff’s,4.7,87,80
Манго,Mango CamomileМанго-Ромашка,Chabacco,4.3,75,73
Манго,MilfaМилфа,Satyr,4.3,69,63
Манго,Mango YogurtМанговый йогурт,Sebero,4.3,58,55
Манго,Манго со льдом,Brusko,4,58,54
Манго,Mango Lassi 2.0Манго Ласси 2.0,DARKSIDE,4.4,57,53
Манго,Bubble FruitБабл-фрут,Sebero,3.9,49,47
Манго,MangoМанго,Bonche,4.3,48,47
Манго,Ekzo MangoСочное манго,Black Burn,4,50,46
Манго,Morning MangoМанго с овсянкой,Spectrum,3.9,49,45
Манго,"Южный вайбГруша, манго, мята",DARKSIDE,3.4,41,38
Манго,Lady Killer,Adalya,4.1,41,37
Манго,Rising StarВосходящая звезда,Black Burn,4,39,36
Манго,JumangoДжуманго,MUSTHAVE,3.8,37,36
Манго,Манго-перец,Nаш,3.7,36,34
Манго,"Petrol HeadzМаракуйя, манго и ананас",DARKSIDE,3.8,35,33
Манго,Thai YogurtТайский манго,Aircraft,3.9,34,31
Манго,MangoМанго,Sebero,3.7,33,
Манго,Mango LassiМанго Ласси,DARKSIDE,3.7,33,
Манго,"Курильский вайбЯблоко, маракуйя, манго",DARKSIDE,3.7,36,
Манго,МММ,Jent,3.9,32,
Манго,DaaДаа,Хулиган,3.8,31,
Манго,Pan MangoПан Манго,Spectrum,4.2,30,
Манго,Pineapple MangoМанго-ананас,Deus,3.5,28,
Манго,Ripe MangoСпелый манго,Sapphire Crown,4.3,26,
Манго,"ТайскийМанго, помело, папайя",DARKSIDE,4.2,26,
Манго,Hard DaaДаа,Хулиган,3.6,27,
Манго,Манго,Северный,4.2,23,
Манго,Манго с апельсином и мятой,Brusko,3.2,22,
Манго,TropicanaТропикана,Element,3.1,21,
Манго,Желтый,Северный,4.6,20,
Манго,Bali MangoБалийский манго,Overdose,4.2,20,
Манго,Fresh TimeВремя свежести,Sebero,3.7,22,
Манго,Goa MangoМанго,Duft,4.2,19,
Манго,Манго киви,Nаш,4.1,19,
Манго,InvidiaЗависть,Душа,4.3,19,
Манго,Mango LassiМанго ласси,Duft,4.3,19,
Мангостин,FijiФиджи,Satyr,3.8,36,35
Мангостин,Mangosteen FlowМангостин,Hype,3.2,7,6
Маракуйя,Space FlavourКосмический вкус,MUSTHAVE,3.8,137,127
Маракуйя,Falling StarФолинг Стар,DARKSIDE,4.1,122,110
Маракуйя,Love66,Adalya,4.1,113,104
Маракуйя,Tropic JuiceТропический сок,MUSTHAVE,3.8,98,91
Маракуйя,Dark PassionДарк Пэшн,DARKSIDE,4.4,83,72
Маракуйя,Real P.F.Маракуйя,Black Burn,4.1,51,47
Маракуйя,Ogo!Ого!,Хулиган,3.9,47,44
Маракуйя,Passion FruitМаракуйя,Bonche,4.2,43,40
Маракуйя,Lady Killer,Adalya,4.1,41,37
Маракуйя,Rising StarВосходящая звезда,Black Burn,4,39,36
Маракуйя,FijiФиджи,Satyr,3.8,36,35
Маракуйя,Тропиканка,Северный,4.5,37,34
Маракуйя,"Petrol HeadzМаракуйя, манго и ананас",DARKSIDE,3.8,35,33
Маракуйя,Passion PlumМаракуйя и слива,MUSTHAVE,4,37,32
Маракуйя,"Курильский вайбЯблоко, маракуйя, манго",DARKSIDE,3.7,36,29
Маракуйя,Маракуйя авокадох Дава Дым,Nаш,4.1,29,28
Маракуйя,"TropicanoАнанас, лимон, маракуйя",JOY.,4.5,28,26
Маракуйя,Passion CitrusЦитрус-маракуйя,Banger,3.9,26,25
Маракуйя,Hard Ogo!Ого!,Хулиган,4.1,28,24
Маракуйя,PassionПэшн,Smoke Angels,3.9,24,24
Маракуйя,PassionfruitМаракуйя,Kraken,4.5,22,
Маракуйя,TropicanaТропикана,Element,3.1,21,
Маракуйя,Passion FruitМаракуйя,Deus,4.2,19,
Маракуйя,Сочная маракуйя,Jam,4.5,20,
Маракуйя,InvidiaЗависть,Душа,4.3,19,
Маракуйя,Маракуйя,Nаш,3.9,19,
Маракуйя,ЗАКАТ У ОКЕАНАМаракуйя,МОЛОДОСТЬ,4.6,18,
Маракуйя,Passion FruitМаракуйя,Sapphire Crown,3.7,18,
Маракуйя,Mara Quya,Mattpear,4.4,17,
Маракуйя,Passion FruitМаракуйя,Endorphin,3.7,16,
Маракуйя,Tropic SodaТропическая газировка,Deus,3.6,16,
Маракуйя,Passion FruitМаракуйя,Spectrum,3.7,16,
Маракуйя,Смузи из маракуйи и малины,Brusko,3.4,16,
Маракуйя,Маракуйя,Сарма,4.3,16,
Маракуйя,MaracujaМаракуйя,Duft,3.7,15,
Маракуйя,Экзотик фрешМаракуйя-кивано,Chabacco,3.6,17,
Маракуйя,PassionfruitМаракуйя,Al Fakher,2.4,13,
Маракуйя,Passion FruitМаракуйя,Chabacco,3.4,14,
Маракуйя,Маракуйя,Starline,3.1,13,
Маракуйя,Olympic Gummy BearОлимпийский мишка,Chabacco,3.7,12,
Маракуйя,TropicanaТропикана,Element,3.2,11,
Маракуйя,Feel Good,Burn,3.4,11,
Маракуйя,Pinepas,Tangiers,4.7,11,
Маракуйя,Passion FruitМаракуйя,Spectrum,2.9,13,
Маракуйя,TropicanaАнанас-маракуйя,Spectrum,4.4,11,
Маракуйя,Тропический сорбет,Северный,4.2,10,
Маракуйя,Тропический,Hook (by Chabacco),3.8,10,
Маракуйя,MaraquyaМаракуйя,Element,4.4,10,
Маракуйя,Passion-PeachПерсик-маракуйя,Cobra,4.5,10,
Маракуйя,HumilitasСмирение,Душа,4.6,9,
Маракуйя,Тропический пистолет,Rustpunk,3.5,9,
Маракуйя,Peach MaracujaПерсик-маракуйя,Banger,3,9,
Маракуйя,Tropic MonsoonТропический муссон,Element,3.4,9,
Маракуйя,Tynky WynkyТинки Винки,Adalya,3.2,9,
Маракуйя,Falling StarФолинг Стар,DARKSIDE,3.2,9,
Маракуйя,Ice Passionfruit MangoЛедяная Маракуйя с Манго,Serbetli,4,10,
Маракуйя,PassionfruitМаракуйя,World Tobacco Original,5,9,
Маракуйя,Passion FruitМаракуйя,Sebero,4.3,8,
Маракуйя,Samurai drinkСамурайский чай,Palitra,4.4,8,
Маракуйя,Porn StarПорн стар,Duft,3.1,8,
Маракуйя,Passion Valley,Element,4.2,8,
Маракуйя,RioРио,Satyr,3.5,8,
Маракуйя,Фейхоа с ягодами и маракуйей,Brusko,2.6,8,
Маракуйя,Jungle JuiceСок Джунглей,Malaysian Mix,3.9,8,
Маракуйя,Манго с маракуйя,Jam,3.3,8,
Маракуйя,MaracujaМаракуйя,Khan Burley,3.2,7,
Маракуйя,Cool Tropic,Zomo,4.2,7,
Маракуйя,PassionfruitМаракуйя,World Tobacco Original,4.8,7,
Маракуйя,Passionfruit,Tangiers,4.3,7,
Маракуйя,TropicanaТропикана,Element,3.8,7,
Маракуйя,Маракуйя и точка,Северный,3.9,7,
Маракуйя,Кислая маракуйя,Original Virginia,2.6,6,
Маракуйя,TropicanaТропикана,Hola,3.8,6,
Маракуйя,Beach PartyПляжная вечеринка,B3 (Be Free),3.6,6,
Маракуйя,Райский фрукт,Original Virginia,4,6,
Маракуйя,Passion PeachПерсик Маракуйя,Cobra,4.3,6,
Маракуйя,Ice Maracuya,Buta,4.3,8,
Маракуйя,Jassie jazz,Split,3.9,7,
Маракуйя,Juicy MixАнанас и маракуйя,Sebero,4.3,5,
Маракуйя,Passion PunchАнанас и маракуйя,Ready,4.2,5,
Маракуйя,Passion AloeМаракуйя и Алоэ,Iskra,3.9,5,
Маракуйя,Tropical FirТропическая хвоя,Duft,2.9,5,
Маракуйя,Passion FruitМаракуйя,Tabu Team,3.5,5,
Маракуйя,Chuck NorrisЧак Норрис,Adalya,4.1,5,
Маракуйя,Mara PassionМаракуйя,Palitra,3.6,5,
Маракуйя,Falling StarФолинг Стар,DARKSIDE,4,5,
Маракуйя,Кислая маракуйяКислая маракуйя,Original Virginia,4,4,
Маракуйя,PassionfruitМаракуйя,Kraken,4.1,4,
Маракуйя,Passion fruit - Sea BuckthornМаракуйя-облепиха,Twice,3.8,4,
Маракуйя,Huan MangoХуан Манго,Eleon,4.3,4,
Маракуйя,PattayaПаттайя,Manual,3.6,4,
Маракуйя,Sixth Sense,Duft,3.8,4,
Маракуйя,PassionМаракуйя,Malaysian Mix,2.3,4,
Маракуйя,Fruit Ninja,Daly,2.2,4,
Маракуйя,BTS,Layalina,4.9,4,
Маракуйя,Маракуйя,Brusko,2.6,4,
Маракуйя,Passion FruitМаракуйя,Chabacco,3.4,4,
Маракуйя,Passion BeatМаракуйя и прованские травы,Badge,2.2,3,
Маракуйя,Кислая маракуйя,Hypreme,4.6,3,
Маракуйя,Mango MaracujaМанго-маракуйя,Burn,4.8,3,
Маракуйя,Mango Passion FruitМанго-маракуйя,Urban Soul,4.5,3,
Маракуйя,Tropical JuiceТропический сок,Tabu Team,4,3,
Маракуйя,Tropical chillТропический чил,High Flex,3.2,3,
Маракуйя,Passion PeachПерсик-Маракуйя,Cobra,1.8,3,
Маракуйя,MaracuyaМаракуйя,LUNA,4.9,3,
Маракуйя,MaracujaМаракуйя,Trinity,2.5,3,
Маракуйя,Маракуйя,Rave by HQD,2.9,3,
Маракуйя,Фейхоа с ягодами и маракуйей,Brusko,3.1,3,
Маракуйя,Night shot,Fishka,4.5,2,
Маракуйя,Экзотические фрукты,Muassel,4.6,2,
Маракуйя,PinepasМанго и маракуйя,Rangers,4.3,2,
Маракуйя,Tropical DuoМаракуйя-гуава,Aircraft,3.2,2,
Маракуйя,Passionfruit LemonadeЛимонад из маракуйи (ТК 15),Tangiers,4.3,2,
Маракуйя,Passion FruitМаракуйя,OLO,3.7,2,
Маракуйя,МаракуйяМаракуйя,Brusko,4,2,
Маракуйя,Vingle VangleВингл Вангл,Jibiar,4.7,2,
Маракуйя,MaracujaМаракуйя,Duft,2.4,2,
Маракуйя,Endless SummerБесконечное лето,Exit,1.5,2,
Маракуйя,Passion BerryМикс малины и маракуйи,Hype,4,2,
Маракуйя,PoPeyeПопай,Adalya,2.3,2,
Маракуйя,Summer KissМанго-маракуйя,Just Original,3.5,2,
Маракуйя,Small giantМаракуйя,Space Smoke,4,2,
Маракуйя,Blue DragonСиний дракон,Adalya,1.5,2,
Маракуйя,Love & love,Serbetli,2.3,2,
Маракуйя,Mario Brothers,Adalya,3.6,2,
Маракуйя,Passion Fruit,Eleon (бестабачная смесь),3.8,2,
Маракуйя,PassionfruitМаракуйя,Cobra,3.7,2,
Маракуйя,Jungle,Daly,3,2,
Маракуйя,Maracuya,Buta,4.4,2,
Маракуйя,Passion Fruit,Tangiers,3.3,2,
Маракуйя,Passion Fruit,Fumari,3.4,2,
Маракуйя,Passion Kiss,Starbuzz,5,2,
Маракуйя,Jungle FruitТропические фрукты,4:20,4.2,2,
Маракуйя,Манго маракуйя,Nur,1.6,1,
Маракуйя,Magic LoveМагическая любовь,Al Fakher,4,1,
Маракуйя,Frutas amarelasЖелтые плоды,Ziggy,4.1,1,
Маракуйя,Yellow StarburstЖелтый взрыв,Ziggy,3.4,1,
Маракуйя,KurajМаракуйя,Go Fast,3.3,1,
Маракуйя,Cold passionХолодная страсть,Jibiar,5,1,
Маракуйя,Маракуйа от большого УйяМаракуйа,Carlivan,4.2,1,
Маракуйя,Маракуйя,Brusko,4,1,
Маракуйя,Dolce VitaЛёд манго маракуя,Smyrna,3.5,1,
Маракуйя,MaracujaМаракуя,Vega,3,1,
Маракуйя,M4 Passion FruitМаракуйя,Milano,1.5,1,
Маракуйя,Bad HabitВредная привычка,Gixom,3,1,
Маракуйя,Tropical BarТропический,Maldiva,3.4,1,
Маракуйя,TangoТайский смузи,Adalya,1,1,
Маракуйя,Marakuya PunchМаракуйный удар,Eleon,3,1,
Маракуйя,Fall in starФол ин стар,Replica (fake by Shpakovsky),4,1,
Маракуйя,Hawaii mixГавайский микс,Табак Шпаковского,4.3,1,
Маракуйя,DesperadoДесперадо,Adalya,3,1,
Маракуйя,Maracuja CreamМаракуйя со сливками,Adalya,3.5,1,
Маракуйя,Passionfruit,Starbuzz,5,1,
Маракуйя,PassionfruitМаракуйя,Cobra,2.6,1,
Маракуйя,Peach BoomПерсиковый бум,Zenith,3.8,1,
Маракуйя,Route 66Маршрут 66,Azure,3.5,1,
Маракуйя,ExoticЭкзотик,LUNA,5,1,
Маракуйя,PeachDayПерсиковый день,Baccar tobacco,5,1,
Маракуйя,Сладкий манго и маракуйя,Devil Cook (табак),4,1,
Маракуйя,777777,Lirra,4.3,1,
Маракуйя,Манго маракуйя,Daly,2,1,
Маракуйя,Passion FruitМаракуйя,Daim,2.1,1,
Маракуйя,Заморский фрукт,Табабка,2,1,
Маракуйя,Забугорье,Табабка,4.3,1,
Маракуйя,Passion Fruit,Do you,2,1,
Маракуйя,Pink,Balli,3,1,
Маракуйя,Fruit Ninja,Daly,4,1,
Маракуйя,Peach Maracuja,Fasil,4.5,1,
Маракуйя,Maracuya,Buta,3,1,
Маракуйя,Passion FruitМаракуйя,Bang Bang,5,1,
Маракуйя,Passion Fruit Mojito,Social Smoke,3,1,
Маракуйя,Passionfruit,Tangiers,5,1,
Маракуйя,Maracuja,Adalya,3,1,
Маракуйя,Skull Control,Nirvana,3.5,1,
Маракуйя,Passion Melon,Layalina,5,1,
Маракуйя,Swiss MaracujaШвейцарская маракуйя,Adalya,3.5,1,
Маракуйя,Манго с маракуйей,Brusko,3.6,2,
Маракуйя,"Kiwi GrooveКиви, гуава, маракуйя",Hit,0,0,
Маракуйя,"Passion CloudМанго, маракуйя, личи",Hit,0,0,
Маракуйя,"Mango TangoМаракуйя, груша, манго",Hit,0,0,
Маракуйя,Citrus MarakuyaЦитрус и маракуйя,Alkasar,0,0,
Маракуйя,Tropical RevengeТропикал Рэвендж,Rangers,0,0,
Маракуйя,PassionМаракуйя,Manterra,0,0,
Маракуйя,Маракуйевый,Энтузиаст,0,0,
Маракуйя,Passion FruitМаракуйя,Tombacco,0,0,
Маракуйя,Фейхоа с ягодами и маракуйей,Brusko,0,0,
Маракуйя,Тропический смузи,Brusko,0,0,
Маракуйя,PoseidonДыня маракуя,Smyrna,0,0,
Маракуйя,One Night Stand,Overdozz,0,0,
Маракуйя,Love Bug,Overdozz,0,0,
Маракуйя,Passion Pulse,4:20,0,0,
Маракуйя,Tropic MaracujaМаракуйя,4:20,0,0,
Маракуйя,PassiПасси,Caliber,0,0,
Маракуйя,M52 Passion FruitМаракуйя,Milano,0,0,
Маракуйя,Olympic Gummy BearОлимпийский мишка,Chabacco,0,0,
Маракуйя,Purple FruitМаракуйя,Malaysian Mix,0,0,
Маракуйя,Экзо коктейль,Joys,0,0,
Маракуйя,Экзотическое безумие,Joys,0,0,
Маракуйя,Passion FruitМаракуйя,Afzal,0,0,
Маракуйя,Noor AIМаракуйя,Asman,0,0,
Марула,MarulaМарула,MUSTHAVE,3.9,86,76
Марула,RafikiРафики,Duft,4,22,20
Марула,MarulaМарула,Element,4.4,21,20
Марула,Pure Instinct,Duft,3,7,6
Марула,Ever Bloom,Duft,3.6,3,3
Марула,Mind Illusion,Duft,2.4,2,2
Марула,MarulaМарула,Just Smoke,2.5,1,1
Марула,Марула рулит,Iguana,3.8,1,1
Марула,AmarulaАмарула,Manterra,0,0,0
Марула,MarulaМарула,Morph,0,0,0
Марула,MarulaМарула,Al Saha,0,0,0
Нектарин,Industry LegendЛегенда индустрии,Jent,4.1,26,24
Нектарин,Нектарин,Starline,3.5,17,16
Нектарин,"Куршский вайбНектарин, фейхоа, кактус",DARKSIDE,3.5,14,13
Нектарин,Sweet SmthЧто-то сладкое,Khan Burley,2.9,9,8
Нектарин,NectarineНектарин,Iskra,4.3,7,7
Нектарин,Nectarine,Fumari,3.2,4,4
Нектарин,Nectarine,Tangiers,3.5,3,3
Нектарин,NectarineНектарин,Rangers,3,1,1
Нектарин,NectarineНектарин,Burn,2.5,1,1
Нектарин,NektamantМагия нектарина,KVLT,3,1,1
Нектарин,Nectar of the Gods,Alchemist Blend,4,1,1
Нектарин,Spiced Nectarine,Lavoo,2,1,1
Нектарин,Sweet Chili Nectarine,Original Virginia,0,0,0
Нектарин,Нектарин & Персик,Original Virginia,0,0,0
Нектарин,NectarineНектарин,Fusion,0,0,0
Нектарин,Bloodmoon Savage,Alchemist Blend,0,0,0
Нектарин,Nectarine,Matreshka,0,0,0
Нектарин,Nectarine,Matreshka,0,0,0
Нектарин,Sweet Nectarine,Hookafina,0,0,0
Папайя,PanamaПанама,Хулиган,4.4,142,134
Папайя,Papaya v obedПапайя в обед,Black Burn,4,72,68
Папайя,Hard PanamaПанама,Хулиган,4.4,67,62
Папайя,FijiФиджи,Satyr,3.8,36,35
Папайя,GuanapapaГуанапапа,MUSTHAVE,4.2,29,28
Папайя,"ТайскийМанго, помело, папайя",DARKSIDE,4.2,26,24
Папайя,Juicy SmoothieТропический смузи,Black Burn,3.7,28,23
Папайя,Ya Papa,Zomo,3.5,21,21
Папайя,"Таманский шейкБанан, папайя, йогурт",DARKSIDE,3.7,23,20
Папайя,Papa YaПапайя,Banger,3.6,21,20
Папайя,Папайя,Nаш,3.8,19,19
Папайя,PapayaПапайя,Duft,3.9,19,18
Папайя,Суфле из папайи,Leteam,4,17,16
Папайя,Папайя,Starline,3.6,16,14
Папайя,Papaya SorbetПапайный сорбет,Tangiers,4.4,14,14
Папайя,PapayaПапайя,Sebero,4.6,13,13
Папайя,"MelomanДыня, папайя",JOY.,4.1,12,12
Папайя,LuxuriaПохоть,Душа,3.2,13,11
Папайя,PapayaПапайя,Duft,3.7,11,9
Папайя,PapayaПапайя,Spectrum,4.5,10,9
Папайя,Tila ManilaТила-манила,Split,3.8,10,
Папайя,Папайевый,Энтузиаст,3.3,9,
Папайя,Папайя,Original Virginia,4.7,9,
Папайя,MauiАнанас и папайя,Element,3.7,8,
Папайя,TemperantiaУмеренность,Душа,3.9,8,
Папайя,Сабайон,Codex Nubium,4,7,
Папайя,Pomelo PapayaПомело папайя,Palitra,4.6,7,
Папайя,MauiАнанас и папайя,Element,3.5,8,
Папайя,ThaifunТайфун,Element,3.5,7,
Папайя,TropicanaТропикана,Hola,3.8,6,
Папайя,Island Papaya,Fumari,3,6,
Папайя,Фруктовый коктейль,Leteam,4.1,6,
Папайя,Магрибский чай,Muassel,4.5,5,
Папайя,Tropical IslandТропический остров,Muassel,2.7,5,
Папайя,Papa Gu (№13)Папайя и гуава,Ready,3.9,5,
Папайя,MauiАнанас и папайя,Element,2.8,4,
Папайя,Пананамама,Табабка,4.1,4,
Папайя,Tropical chillТропический чил,High Flex,3.2,3,
Папайя,CocoPieКоко-пай,Baccar tobacco,4,3,
Папайя,MelopayaАрбуз и папайя,Mr. Brew,4.8,2,
Персик,Peach YogurtПерсиковый йогурт,Black Burn,4.5,172,158
Персик,Peach StationПерсик,Jent,4.5,74,71
Персик,Peach Iced Tea,Tangiers,4.4,63,58
Персик,Peach KillerПерсиковый убийца,Black Burn,4,52,48
Персик,Персик-Молоко,Сарма,4.2,49,47
Персик,Turbo TeaПерсик и кашмир,DARKSIDE,3.9,51,46
Персик,Sweet PeachСладкий персик,MUSTHAVE,3.7,46,42
Персик,American PeachПерсик,Spectrum,4.1,43,41
Персик,Divine PeachБожественный персик,Smoke Angels,3.5,43,40
Персик,KrasПерсиковое вино,Хулиган,4,42,38
Персик,Glitch Ice TeaГлич Айс Ти,DARKSIDE,4,41,37
Персик,PeachberryПерсик и земляника,Black Burn,3.6,40,37
Персик,New Year 2025,Bonche,4.3,35,35
Персик,Peach Iced TeaПерсиковый чай,Overdose,3.6,37,34
Персик,Belgian CiderБельгийский сидр,Chabacco,3.4,37,34
Персик,PeachПерсик,Overdose,4.3,32,31
Персик,Hard KrasПерсиковое вино,Хулиган,4.3,32,31
Персик,SUUUUU,Хулиган,4,36,30
Персик,Hard SUUUUU,Хулиган,4,31,29
Персик,Virgin Peach 2.0Вирджин пич 2.0,DARKSIDE,4.7,29,28
Персик,Ultimate PeachПерсик и йогурт,DARKSIDE,3.5,27,
Персик,Персик,Северный,4.4,26,
Персик,Chudo PeachПерсиковый йогурт,JOY.,4.4,26,
Персик,Peach Ice TeaОсвежающий персиковый чай,Spectrum,3.7,27,
Персик,Roibos creme caramelРойбуш,Sapphire Crown,3.5,26,
Персик,Moon PeachЛунный персик,Satyr,4.1,25,
Персик,Kashmir PeachКашмир персик,Tangiers,4.6,24,
Персик,Queen of PersiaБархатный персик,Satyr,4.4,22,
Персик,TropicanaТропикана,Element,3.1,21,
Персик,Peach-LimeПерсик-Лайм,Chabacco,3.6,22,
Персик,ПеRсикПерсик,Nаш,4,20,
Персик,Кучерявый персик,Северный,4.2,19,
Персик,PeachПерсик,Element,3.7,19,
Персик,Virgin PeachВирджин Пич,DARKSIDE,3.2,18,
Персик,Apricot JamАбрикосовый джем,Banger,3.7,18,
Персик,Berlin NightsБерлинские ночи,Adalya,4.2,17,
Персик,SaporbiaТщеславие,Душа,3.6,17,
Персик,Peach Iced TeaЛедяной персиковый чай,Duft,3.4,17,
Персик,Dragon Wall,Zomo,4.1,15,
Персик,Spicy PeachЖареный персик,Spectrum,2.5,16,
Персик,"Крымский вайбДыня, персик, виноград",DARKSIDE,3.7,16,
Персик,PeachПерсик,Trofimoff’s,4.1,15,
Персик,Sunny peachСолнечный персик,Sapphire Crown,3.3,15,
Персик,PeachПерсик,Nakhla,3.8,16,
Персик,Spicy PeachЖареный персик,Spectrum,3.6,15,
Персик,Sour PeachКислый персик,Duft,3.8,14,
Персик,BelliniБеллини,Element,2.8,13,
Персик,Персиковый чай,Rustpunk,3.8,12,
Персик,Peach ApricotПерсик-абрикос,Chabacco,4.3,12,
Персик,Wild JamЗемлянично-персиковый джем,Element,2.6,12,
Персик,Olympic Gummy BearОлимпийский мишка,Chabacco,3.7,12,
Персик,"ТосканскийКосмополитен, персик, смородина",DARKSIDE,4.2,11,
Персик,Juicy PeachСочный персик,Sebero,4.2,11,
Персик,Fig PeachИнжирный Персик,Kraken,4.4,11,
Персик,Iced TeaЛедяной чай,Khan Burley,3.4,11,
Персик,TropicanaТропикана,Element,3.2,11,
Персик,"Beach PeachПерсик, лимон",JOY.,3.6,11,
Персик,Jelly berryЯгодный кисель,Spectrum,3.9,11,
Персик,Melony BeachДынный пляж,Mattpear,3.8,10,
Персик,Cinna BoomСина Бум,Mattpear,4.4,10,
Питахайя,Pussy FruitПусси фрут,Satyr,4.2,84,77
Питахайя,Dragon FruitДраконий фрукт,Duft,4.1,19,19
Питахайя,Питахайя,Nаш,2.9,17,17
Питахайя,Dragon MixПитайя айва,Spectrum,3.4,11,11
Питахайя,Fruity DustФрути Даст,DARKSIDE,3.6,10,10
Питахайя,Tutti FruttiТутти Фрутти,Spectrum,3.4,9,9
Питахайя,SurfСёрф,Banger,3.9,9,9
Питахайя,Dragon Fruit BluСиняя питахайя,Adalya,4.4,8,8
Питахайя,Первое путешествиеТропический шейк,МОЛОДОСТЬ,3.6,8,7
Питахайя,Dragon MixДрэгон Микс,Spectrum,3.1,7,7
Питахайя,DragonfruitПитахайя,Cobra,4.6,6,6
Питахайя,DragonfruitПитахайя,Cobra,4.2,5,5
Питахайя,Питахайя-манго,World Tobacco Original,4.7,4,4
Питахайя,Dragon FruitПитахайя,Adalya,2.1,4,4
Питахайя,The GodFatherКресный отец,Adalya,3.3,4,4
Питахайя,Dragon FruitПитахайя,Duft,3.7,3,3
Питахайя,Fruity DustФрути Даст,DARKSIDE,3.5,3,3
Питахайя,Dragon fruitПитахайя,Malaysian Mix,3.8,2,2
Питахайя,Jungle,Daly,3,2,2
Питахайя,Dragon BerryЯгоды Дракона,Jibiar,3.8,1,1
Питахайя,Chapolin,Adalya,3,1,
Питахайя,Dragon HeatПитахайя,Malaysian Mix,3.3,1,
Питахайя,Dragon HeartДраконье сердце,Space Smoke,4.7,1,
Питахайя,Dragon WindДраконий ветер,Malaysian Mix,3.8,1,
